Track 5 Song,Rating,,None Track 5 Song,Individual Rating,,Average Rating of Track 5 Song,Average Rating,,Song Title,Average Rating of None Track 5
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,1,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,4,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,3,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,6,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,3,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,3,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,4,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,2,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,1,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,3,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,4,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,1,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,4,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,3,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,4,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,4,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,4,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,3,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,1,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,4,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,3,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,4,,,,,,,,,
The Archer,3,,,,,,,,,
The Archer,4,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,5,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,8,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,10,,,,,,,,,
The Archer,7,,,,,,,,,
The Archer,3,,,,,,,,,
The Archer,9,,,,,,,,,
The Archer,6,,,,,,,,,
The Archer,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,3,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,4,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,3,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,1,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,2,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,8,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,1,,,,,,,,,
My Tears Ricochet,4,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,6,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,7,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,9,,,,,,,,,
My Tears Ricochet,5,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
My Tears Ricochet,10,,,,,,,,,
